,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,price
0,122.0,88.6,168.8,64.1,48.8,2548.0,130.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,3,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,13495.0
1,122.0,88.6,168.8,64.1,48.8,2548.0,130.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,3,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,16500.0
2,122.0,94.5,171.2,65.5,52.4,2823.0,152.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,1,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,16500.0
3,164.0,99.8,176.6,66.2,54.3,2337.0,109.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,2,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi,13950.0
4,164.0,99.4,176.6,66.4,54.3,2824.0,136.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,2,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi,17450.0
5,122.0,99.8,177.3,66.3,53.1,2507.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,2,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi,15250.0
6,158.0,105.8,192.7,71.4,55.7,2844.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,1,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi,17710.0
7,122.0,105.8,192.7,71.4,55.7,2954.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,1,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi,18920.0
8,158.0,105.8,192.7,71.4,55.9,3086.0,131.0,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,1,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,23875.0
9,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,2,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi,16430.0
10,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,0,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi,16925.0
11,188.0,101.2,176.8,64.8,54.3,2710.0,164.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,20970.0
12,188.0,101.2,176.8,64.8,54.3,2765.0,164.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,21105.0
13,122.0,103.5,189.0,66.9,55.7,3055.0,164.0,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,1,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,24565.0
14,122.0,103.5,189.0,66.9,55.7,3230.0,209.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,30760.0
15,122.0,103.5,193.8,67.9,53.7,3380.0,209.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,41315.0
16,122.0,110.0,197.0,70.9,56.3,3505.0,209.0,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,36880.0
17,121.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,2,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl,5151.0
18,98.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,1,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6295.0
19,81.0,94.5,158.8,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,0,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6575.0
20,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,1,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5572.0
21,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,1,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6377.0
22,118.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,1,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,7957.0
23,148.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,1,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,6229.0
24,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,1,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6692.0
25,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,1,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7609.0
26,148.0,93.7,157.3,63.8,50.6,2191.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,1,dodge,gas,turbo,four,sedan,fwd,front,ohc,four,mpfi,8558.0
27,110.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,-1,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl,8921.0
28,145.0,95.9,173.2,66.3,50.2,2811.0,156.0,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,3,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,12964.0
29,137.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,2,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6479.0
30,137.0,86.6,144.6,63.9,50.8,1819.0,92.0,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,2,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6855.0
31,101.0,93.7,150.0,64.0,52.6,1837.0,79.0,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,5399.0
32,101.0,93.7,150.0,64.0,52.6,1940.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6529.0
33,101.0,93.7,150.0,64.0,52.6,1956.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,7129.0
34,110.0,96.5,163.4,64.0,54.5,2010.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,7295.0
35,78.0,96.5,157.1,63.9,58.3,2024.0,92.0,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,0,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl,7295.0
36,106.0,96.5,167.5,65.2,53.3,2236.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,7895.0
37,106.0,96.5,167.5,65.2,53.3,2289.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,9095.0
38,85.0,96.5,175.4,65.2,54.1,2304.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,8845.0
39,85.0,96.5,175.4,62.5,54.1,2372.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,10295.0
40,85.0,96.5,175.4,65.2,54.1,2465.0,110.0,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,0,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi,12945.0
41,107.0,96.5,169.1,66.0,51.0,2293.0,110.0,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,1,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl,10345.0
42,122.0,94.3,170.7,61.8,53.5,2337.0,111.0,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,0,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl,6785.0
43,122.0,96.0,172.6,65.2,51.4,2734.0,119.0,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,2,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi,11048.0
44,145.0,113.0,199.6,69.6,52.8,4066.0,258.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,32250.0
45,122.0,113.0,199.6,69.6,52.8,4066.0,258.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,35550.0
46,122.0,102.0,191.7,70.6,47.8,3950.0,326.0,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,0,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,36000.0
